,model_name,runtime,load,params
59,GC,118.6014394749759,0.23828125,"(60,)"
60,GC,119.27582773458884,0.2421875,"(61,)"
61,GC,119.94654587869512,0.24609375,"(62,)"
62,GC,120.6087883866116,0.25,"(63,)"
63,GC,121.27090758015241,0.25390625,"(64,)"
64,GC,121.93091763637253,0.2578125,"(65,)"
65,GC,122.56627251568939,0.26171875,"(66,)"
66,GC,123.19399590696835,0.265625,"(67,)"
67,GC,123.82171929824727,0.26953125,"(68,)"
68,GC,124.44123331036114,0.2734375,"(69,)"
69,GC,125.05175880050916,0.27734375,"(70,)"
70,GC,125.65529464994368,0.28125,"(71,)"
71,GC,126.25195449824726,0.28515625,"(72,)"
72,GC,126.84528208726438,0.2890625,"(73,)"
73,GC,127.43460258387161,0.29296875,"(74,)"
74,GC,128.01933122232322,0.296875,"(75,)"
75,GC,128.60405986077484,0.30078125,"(76,)"
76,GC,129.18511305512015,0.3046875,"(77,)"
77,GC,129.76124274300633,0.30859375,"(78,)"
78,GC,130.3373724308925,0.3125,"(79,)"
79,GC,130.91350211877864,0.31640625,"(80,)"
80,GC,131.48963180666482,0.3203125,"(81,)"
81,GC,132.06576149455094,0.32421875,"(82,)"
82,GC,132.64060053493805,0.328125,"(83,)"
83,GC,133.20813127225875,0.33203125,"(84,)"
84,GC,133.77566200957946,0.3359375,"(85,)"
85,GC,134.34319274690014,0.33984375,"(86,)"
86,GC,134.91072348422082,0.34375,"(87,)"
87,GC,135.47825422154153,0.34765625,"(88,)"
88,GC,136.04282220797035,0.3515625,"(89,)"
89,GC,136.60175399472558,0.35546875,"(90,)"
90,GC,137.1606857814808,0.359375,"(91,)"
91,GC,137.71961756823603,0.36328125,"(92,)"
92,GC,138.27854935499127,0.3671875,"(93,)"
93,GC,138.83411253802728,0.37109375,"(94,)"
94,GC,139.3844453742171,0.375,"(95,)"
95,GC,139.93477821040685,0.37890625,"(96,)"
96,GC,140.48511104659661,0.3828125,"(97,)"
97,GC,141.03544388278635,0.38671875,"(98,)"
98,GC,141.5857767189761,0.390625,"(99,)"
99,GC,142.1361095551659,0.39453125,"(100,)"
100,GC,142.68644239135565,0.3984375,"(101,)"
101,GC,143.23677522754542,0.40234375,"(102,)"
102,GC,143.78710806373516,0.40625,"(103,)"
103,GC,144.3374408999249,0.41015625,"(104,)"
104,GC,144.88194157617536,0.4140625,"(105,)"
105,GC,145.4236754617997,0.41796875,"(106,)"
106,GC,145.96540934742396,0.421875,"(107,)"
107,GC,146.50714323304828,0.42578125,"(108,)"
108,GC,147.04887711867258,0.4296875,"(109,)"
109,GC,147.59061100429687,0.43359375,"(110,)"
110,GC,148.13234488992117,0.4375,"(111,)"
111,GC,148.67407877554544,0.44140625,"(112,)"
112,GC,149.21581266116976,0.4453125,"(113,)"
113,GC,149.75754654679406,0.44921875,"(114,)"
114,GC,150.29928043241833,0.453125,"(115,)"
115,GC,150.84101431804265,0.45703125,"(116,)"
116,GC,151.38274820366692,0.4609375,"(117,)"
117,GC,151.92448208929125,0.46484375,"(118,)"
118,GC,152.46621597491554,0.46875,"(119,)"
119,GC,153.00794986053987,0.47265625,"(120,)"
120,GC,153.54968374616413,0.4765625,"(121,)"
121,GC,154.0914176317884,0.48046875,"(122,)"
122,GC,154.63315151741273,0.484375,"(123,)"
123,GC,155.174885403037,0.48828125,"(124,)"
124,GC,155.71661928866135,0.4921875,"(125,)"
125,GC,156.25835317428562,0.49609375,"(126,)"
126,GC,156.80008705990988,0.5,"(127,)"
127,GC,157.3418209455342,0.50390625,"(128,)"
128,GC,157.88355483115848,0.5078125,"(129,)"
129,GC,158.4196926927069,0.51171875,"(130,)"
130,GC,158.9528276277657,0.515625,"(131,)"
131,GC,159.4859625628245,0.51953125,"(132,)"
132,GC,160.01909749788337,0.5234375,"(133,)"
133,GC,160.5522324329422,0.52734375,"(134,)"
134,GC,161.08536736800102,0.53125,"(135,)"
135,GC,161.61850230305987,0.53515625,"(136,)"
136,GC,162.1447034600845,0.5390625,"(137,)"
137,GC,162.6692394445779,0.54296875,"(138,)"
138,GC,163.19377542907128,0.546875,"(139,)"
139,GC,163.7183114135646,0.55078125,"(140,)"
140,GC,164.242847398058,0.5546875,"(141,)"
141,GC,164.76738338255132,0.55859375,"(142,)"
142,GC,165.29191936704473,0.5625,"(143,)"
143,GC,165.81645535153808,0.56640625,"(144,)"
144,GC,166.34099133603144,0.5703125,"(145,)"
145,GC,166.8655273205248,0.57421875,"(146,)"
146,GC,167.39006330501817,0.578125,"(147,)"
147,GC,167.91459928951156,0.58203125,"(148,)"
148,GC,168.43913527400494,0.5859375,"(149,)"
149,GC,168.96367125849827,0.58984375,"(150,)"
150,GC,169.48820724299165,0.59375,"(151,)"
151,GC,170.012743227485,0.59765625,"(152,)"
152,GC,170.5372792119784,0.6015625,"(153,)"
153,GC,171.06181519647177,0.60546875,"(154,)"
154,GC,171.5863511809651,0.609375,"(155,)"
155,GC,172.1108871654585,0.61328125,"(156,)"
156,GC,172.63542314995183,0.6171875,"(157,)"
157,GC,173.1599591344452,0.62109375,"(158,)"
158,GC,173.6844951189386,0.625,"(159,)"
159,GC,174.20903110343195,0.62890625,"(160,)"
160,GC,174.73356708792528,0.6328125,"(161,)"
161,GC,175.2581030724187,0.63671875,"(162,)"
162,GC,175.78263905691205,0.640625,"(163,)"
163,GC,176.30717504140543,0.64453125,"(164,)"
164,GC,176.83171102589878,0.6484375,"(165,)"
165,GC,177.3562470103921,0.65234375,"(166,)"
166,GC,177.88078299488552,0.65625,"(167,)"
167,GC,178.40531897937885,0.66015625,"(168,)"
168,GC,178.92985496387223,0.6640625,"(169,)"
169,GC,179.4543909483656,0.66796875,"(170,)"
170,GC,179.97892693285894,0.671875,"(171,)"
171,GC,180.50346291735235,0.67578125,"(172,)"
172,GC,181.0279989018457,0.6796875,"(173,)"
173,GC,181.55253488633906,0.68359375,"(174,)"
174,GC,182.07707087083242,0.6875,"(175,)"
175,GC,182.60160685532577,0.69140625,"(176,)"
176,GC,183.1210207391664,0.6953125,"(177,)"
177,GC,183.63695777309428,0.69921875,"(178,)"
178,GC,184.15289480702222,0.703125,"(179,)"
179,GC,184.6688318409501,0.70703125,"(180,)"
180,GC,185.184768874878,0.7109375,"(181,)"
181,GC,185.7007059088059,0.71484375,"(182,)"
182,GC,186.21664294273378,0.71875,"(183,)"
183,GC,186.73257997666173,0.72265625,"(184,)"
184,GC,187.2485170105896,0.7265625,"(185,)"
185,GC,187.7644540445175,0.73046875,"(186,)"
186,GC,188.28039107844538,0.734375,"(187,)"
187,GC,188.7963281123733,0.73828125,"(188,)"
188,GC,189.3122651463012,0.7421875,"(189,)"
189,GC,189.8282021802291,0.74609375,"(190,)"
190,GC,190.344139214157,0.75,"(191,)"
191,GC,190.86007624808488,0.75390625,"(192,)"
192,GC,191.37601328201282,0.7578125,"(193,)"
193,GC,191.8919503159407,0.76171875,"(194,)"
194,GC,192.4078873498686,0.765625,"(195,)"
195,GC,192.9238243837965,0.76953125,"(196,)"
196,GC,193.43976141772444,0.7734375,"(197,)"
197,GC,193.95569845165232,0.77734375,"(198,)"
198,GC,194.4716354855802,0.78125,"(199,)"
199,GC,194.9875725195081,0.78515625,"(200,)"
200,GC,195.503509553436,0.7890625,"(201,)"
201,GC,196.01944658736394,0.79296875,"(202,)"
202,GC,196.53538362129183,0.796875,"(203,)"
203,GC,197.0513206552197,0.80078125,"(204,)"
204,GC,197.5672576891476,0.8046875,"(205,)"
205,GC,198.0831947230755,0.80859375,"(206,)"
206,GC,198.59913175700345,0.8125,"(207,)"
207,GC,199.11506879093133,0.81640625,"(208,)"
208,GC,199.63100582485922,0.8203125,"(209,)"
209,GC,200.1469428587871,0.82421875,"(210,)"
210,GC,200.662879892715,0.828125,"(211,)"
211,GC,201.17881692664295,0.83203125,"(212,)"
212,GC,201.69475396057084,0.8359375,"(213,)"
213,GC,202.21069099449872,0.83984375,"(214,)"
214,GC,202.7266280284266,0.84375,"(215,)"
215,GC,203.24256506235454,0.84765625,"(216,)"
216,GC,203.75850209628243,0.8515625,"(217,)"
217,GC,204.27443913021034,0.85546875,"(218,)"
218,GC,204.79037616413822,0.859375,"(219,)"
219,GC,205.30631319806616,0.86328125,"(220,)"
220,GC,205.82225023199405,0.8671875,"(221,)"
221,GC,206.33818726592196,0.87109375,"(222,)"
222,GC,206.85412429984984,0.875,"(223,)"
223,GC,207.3700613337777,0.87890625,"(224,)"
224,GC,207.88599836770567,0.8828125,"(225,)"
225,GC,208.40193540163355,0.88671875,"(226,)"
226,GC,208.91787243556143,0.890625,"(227,)"
227,GC,209.43380946948932,0.89453125,"(228,)"
228,GC,209.9497465034172,0.8984375,"(229,)"
229,GC,210.46568353734517,0.90234375,"(230,)"
230,GC,210.98162057127306,0.90625,"(231,)"
231,GC,211.49755760520094,0.91015625,"(232,)"
232,GC,212.01349463912885,0.9140625,"(233,)"
233,GC,212.52943167305673,0.91796875,"(234,)"
234,GC,213.04536870698468,0.921875,"(235,)"
235,GC,213.56130574091256,0.92578125,"(236,)"
236,GC,214.07724277484044,0.9296875,"(237,)"
237,GC,214.59317980876838,0.93359375,"(238,)"
238,GC,215.10911684269624,0.9375,"(239,)"
239,GC,215.62505387662415,0.94140625,"(240,)"
240,GC,216.14099091055206,0.9453125,"(241,)"
241,GC,216.65692794447995,0.94921875,"(242,)"
242,GC,217.1728649784079,0.953125,"(243,)"
243,GC,217.68880201233577,0.95703125,"(244,)"
244,GC,218.20473904626368,0.9609375,"(245,)"
245,GC,218.72067608019157,0.96484375,"(246,)"
246,GC,219.2366131141195,0.96875,"(247,)"
247,GC,219.7525501480474,0.97265625,"(248,)"
